NumberPrefix,Rate,Description,SubDescription
43661,0.29,AUSTRIA,Mobile
43664,0.05,AUSTRIA,Mobile Mobilcom
43665,0.29,AUSTRIA,Mobile
43666,0.29,AUSTRIA,Mobile
43667,0.29,AUSTRIA,Mobile
43668,0.29,AUSTRIA,Mobile
43669,0.29,AUSTRIA,Mobile
43676,0.05,AUSTRIA,Mobile T Mobile
43677,0.05,AUSTRIA,Mobile T Mobile
43678,0.05,AUSTRIA,Mobile Hutchinson
43680,0.05,AUSTRIA,Mobile Mobilcom
43681,0.05,AUSTRIA,Mobile Orange
43688,0.05,AUSTRIA,Mobile Mobilcom
43699,0.05,AUSTRIA,Mobile Orange
4369988,0.05,AUSTRIA,Mobile Mobilcom
4369989,0.05,AUSTRIA,Mobile Mobilcom
43711,0.29,AUSTRIA,Mobile
43730,0.29,AUSTRIA,Mobile
43740,0.29,AUSTRIA,Mobile
43810,0.58,AUSTRIA,NGN
43820,0.58,AUSTRIA,NGN
994,0.21,AZERBAIJAN,Azerbaijan
99412,0.16,AZERBAIJAN,Baku
99440,0.32,AZERBAIJAN,Mobile
99450,0.33,AZERBAIJAN,Mobile Azercell
99451,0.33,AZERBAIJAN,Mobile Azercell
99455,0.32,AZERBAIJAN,Mobile
99460,0.32,AZERBAIJAN,Mobile
99470,0.32,AZERBAIJAN,Mobile
99477,0.32,AZERBAIJAN,Mobile
1242,0.1,BAHAMAS,Bahamas
124247,0.22,BAHAMAS,Mobile
973,0.07,BAHRAIN,Bahrain
97333,0.07,BAHRAIN,Mobile
97336,0.07,BAHRAIN,Mobile MTC
973377,0.07,BAHRAIN,Mobile MTC
973383,0.07,BAHRAIN,Mobile
973388,0.07,BAHRAIN,Mobile
97339,0.07,BAHRAIN,Mobile
880,0.04,BANGLADESH,Bangladesh
8801,0.04,BANGLADESH,Mobile
88017,0.04,BANGLADESH,Mobile Grameen
8802,0.04,BANGLADESH,Dhaka
88031,0.04,BANGLADESH,Chittagong
880821,0.04,BANGLADESH,Sylhet
1246,0.07,BARBADOS,Barbados
124623,0.2,BARBADOS,Mobile C&W
124624,0.2,BARBADOS,Mobile C&W
124626,0.2,BARBADOS,Mobile Digicel
1246446,0.2,BARBADOS,Mobile
1246447,0.2,BARBADOS,Mobile
1246448,0.2,BARBADOS,Mobile
1246449,0.2,BARBADOS,Mobile
124645,0.2,BARBADOS,Mobile
124652,0.2,BARBADOS,Mobile
124682,0.2,BARBADOS,Mobile Digicel
124683,0.2,BARBADOS,Mobile Digicel
375,0.23,BELARUS,Belarus
37517,0.23,BELARUS,Minsk
37525,0.23,BELARUS,Mobile
37529,0.23,BELARUS,Mobile
37533,0.23,BELARUS,Mobile
37544,0.23,BELARUS,Mobile
32,0.04,BELGIUM,Belgium
321020,0.04,BELGIUM,Telenet
321028,0.04,BELGIUM,OLO
321030,0.04,BELGIUM,OLO
321039,0.04,BELGIUM,OLO
321053,0.04,BELGIUM,OLO
321060,0.04,BELGIUM,OLO
321073,0.04,BELGIUM,OLO
321075,0.04,BELGIUM,OLO
321076,0.04,BELGIUM,OLO
321080,0.04,BELGIUM,OLO
321083,0.04,BELGIUM,OLO
321136,0.04,BELGIUM,OLO
321141,0.04,BELGIUM,Telenet
321147,0.04,BELGIUM,OLO
321149,0.04,BELGIUM,OLO
321150,0.04,BELGIUM,OLO
321156,0.04,BELGIUM,OLO
321165,0.04,BELGIUM,OLO
321171,0.04,BELGIUM,Telenet
321172,0.04,BELGIUM,Telenet
321174,0.04,BELGIUM,Telenet
321176,0.04,BELGIUM,Telenet
321184,0.04,BELGIUM,OLO
321189,0.04,BELGIUM,OLO
321190,0.04,BELGIUM,OLO
3211920,0.04,BELGIUM,OLO
3211930,0.04,BELGIUM,OLO
321195,0.04,BELGIUM,OLO
3211960,0.04,BELGIUM,OLO
321197,0.04,BELGIUM,OLO
3211988,0.04,BELGIUM,OLO
321220,0.04,BELGIUM,Telenet
321221,0.04,BELGIUM,Telenet
321222,0.04,BELGIUM,Telenet
321228,0.04,BELGIUM,OLO
321230,0.04,BELGIUM,OLO
321232,0.04,BELGIUM,OLO
321235,0.04,BELGIUM,OLO
321249,0.04,BELGIUM,OLO
321269,0.04,BELGIUM,OLO
321273,0.04,BELGIUM,OLO
321275,0.04,BELGIUM,OLO
321280,0.04,BELGIUM,OLO
321283,0.04,BELGIUM,OLO
321288,0.04,BELGIUM,Telenet
321325,0.04,BELGIUM,Telenet
